instance,family,n,m,p,seed,labelling,algorithm,bitset,mis_count,median_seconds,min_seconds,max_seconds,repeats,recursion_nodes,unproductive_calls,pivot_candidates,pivot_intersections,peak_kib
er_n24_p0.3_s1,er,24,88,0.3,1,random,bk_basic,0,150,0.002110542031005025,0.002037332858890295,0.002291542012244463,5,3101,2579,0,0,34.3
er_n24_p0.3_s1,er,24,88,0.3,1,random,bk_pivot,0,150,0.0005051251500844955,0.0004836670123040676,0.0005698339082300663,5,550,87,1414,0,34.4
er_n24_p0.3_s1,er,24,88,0.3,1,random,bk_tomita,0,150,0.0005547499749809504,0.00053958292119205,0.000645417021587491,5,340,7,792,792,35.9
er_n24_p0.3_s1,er,24,88,0.3,1,random,bk_pivot_p,0,150,0.0005561669822782278,0.0005492910277098417,0.0005971670616418123,5,662,195,1234,0,34.4
er_n24_p0.3_s1,er,24,88,0.3,1,random,bk_ikgp,0,150,0.0005616249982267618,0.0005530000198632479,0.0005965828895568848,5,376,43,779,779,35.9
er_n24_p0.3_s1,er,24,88,0.3,1,random,bk_basic_bit,1,150,0.0015449998900294304,0.0015402499120682478,0.0015786250587552786,5,3101,,,,7.4
er_n24_p0.3_s1,er,24,88,0.3,1,random,bk_pivot_bit,1,150,0.00045941700227558613,0.00045483303256332874,0.00047474983148276806,5,509,,,,7.2
er_n24_p0.3_s1,er,24,88,0.3,1,random,bk_tomita_bit,1,150,0.0005136670079082251,0.0005089580081403255,0.0005231250543147326,5,341,,,,7.8
er_n24_p0.5_s1,er,24,139,0.5,1,random,bk_basic,0,86,0.00041091698221862316,0.00038841599598526955,0.0004976659547537565,5,619,380,0,0,30.5
er_n24_p0.5_s1,er,24,139,0.5,1,random,bk_pivot,0,86,0.00023887492716312408,0.00022987485863268375,0.00027995905838906765,5,272,49,600,0,29.8
er_n24_p0.5_s1,er,24,139,0.5,1,random,bk_tomita,0,86,0.00028487504459917545,0.0002762910444289446,0.00033012498170137405,5,188,4,410,410,30.6
er_n24_p0.5_s1,er,24,139,0.5,1,random,bk_pivot_p,0,86,0.0002509159967303276,0.00024462491273880005,0.0002702500205487013,5,305,80,457,0,29.8
er_n24_p0.5_s1,er,24,139,0.5,1,random,bk_ikgp,0,86,0.00028137490153312683,0.00027904193848371506,0.00029329187236726284,5,211,27,371,371,30.6
er_n24_p0.5_s1,er,24,139,0.5,1,random,bk_basic_bit,1,86,0.00036145816557109356,0.0003584579098969698,0.00037104194052517414,5,619,,,,6.0
er_n24_p0.5_s1,er,24,139,0.5,1,random,bk_pivot_bit,1,86,0.0002354169264435768,0.00023499992676079273,0.00024266703985631466,5,263,,,,6.3
er_n24_p0.5_s1,er,24,139,0.5,1,random,bk_tomita_bit,1,86,0.000274500111117959,0.0002731247805058956,0.00028125010430812836,5,194,,,,6.9
er_n24_p0.7_s1,er,24,189,0.7,1,random,bk_basic,0,44,0.000140791991725564,0.00013199984095990658,0.0001799589954316616,5,193,92,0,0,25.6
er_n24_p0.7_s1,er,24,189,0.7,1,random,bk_pivot,0,44,0.00012737512588500977,0.00012087495997548103,0.00014504208229482174,5,136,33,262,0,25.1
er_n24_p0.7_s1,er,24,189,0.7,1,random,bk_tomita,0,44,0.00014616688713431358,0.00014291703701019287,0.00016954215243458748,5,99,10,189,189,25.6
er_n24_p0.7_s1,er,24,189,0.7,1,random,bk_pivot_p,0,44,0.00011999998241662979,0.00011645792983472347,0.00012512505054473877,5,135,33,177,0,25.1
er_n24_p0.7_s1,er,24,189,0.7,1,random,bk_ikgp,0,44,0.00014558411203324795,0.00014158315025269985,0.0001515829935669899,5,111,23,163,163,25.6
er_n24_p0.7_s1,er,24,189,0.7,1,random,bk_basic_bit,1,44,0.00013845902867615223,0.00013812491670250893,0.0001459578052163124,5,193,,,,4.6
er_n24_p0.7_s1,er,24,189,0.7,1,random,bk_pivot_bit,1,44,0.00011708284728229046,0.00011666701175272465,0.00012199999764561653,5,119,,,,4.5
er_n24_p0.7_s1,er,24,189,0.7,1,random,bk_tomita_bit,1,44,0.00014362484216690063,0.00014299992471933365,0.00015116599388420582,5,97,,,,4.9
er_n24_p0.3_s2,er,24,86,0.3,2,random,bk_basic,0,164,0.0027636250015348196,0.0026964580174535513,0.0029799998737871647,5,3926,3331,0,0,37.2
er_n24_p0.3_s2,er,24,86,0.3,2,random,bk_pivot,0,164,0.000540916109457612,0.0005169168580323458,0.0006167911924421787,5,582,93,1419,0,36.9
er_n24_p0.3_s2,er,24,86,0.3,2,random,bk_tomita,0,164,0.0006571668200194836,0.0006426249165087938,0.0007474580779671669,5,389,4,918,918,37.0
er_n24_p0.3_s2,er,24,86,0.3,2,random,bk_pivot_p,0,164,0.0006480831652879715,0.0006309577729552984,0.0006905000191181898,5,753,258,1325,0,36.9
er_n24_p0.3_s2,er,24,86,0.3,2,random,bk_ikgp,0,164,0.0006590420380234718,0.0006490419618785381,0.0007035410962998867,5,423,37,904,904,37.0
er_n24_p0.3_s2,er,24,86,0.3,2,random,bk_basic_bit,1,164,0.001901624957099557,0.0018992088735103607,0.0019705831073224545,5,3926,,,,7.4
er_n24_p0.3_s2,er,24,86,0.3,2,random,bk_pivot_bit,1,164,0.0005979589186608791,0.0005897500086575747,0.0006167090032249689,5,690,,,,7.0
er_n24_p0.3_s2,er,24,86,0.3,2,random,bk_tomita_bit,1,164,0.0005874170456081629,0.0005869579035788774,0.0005975000094622374,5,393,,,,7.8
er_n24_p0.5_s2,er,24,140,0.5,2,random,bk_basic,0,85,0.00039679091423749924,0.0003815828822553158,0.0004879999905824661,5,595,382,0,0,30.5
er_n24_p0.5_s2,er,24,140,0.5,2,random,bk_pivot,0,85,0.0002314997836947441,0.00022300006821751595,0.000271292170509696,5,261,58,567,0,30.3
er_n24_p0.5_s2,er,24,140,0.5,2,random,bk_tomita,0,85,0.0002834999468177557,0.00027483305893838406,0.0003274159971624613,5,187,10,390,390,30.3
er_n24_p0.5_s2,er,24,140,0.5,2,random,bk_pivot_p,0,85,0.00024399999529123306,0.00023925001733005047,0.00026029208675026894,5,296,93,431,0,30.3
er_n24_p0.5_s2,er,24,140,0.5,2,random,bk_ikgp,0,85,0.00029283412732183933,0.00028904201462864876,0.00030637485906481743,5,225,48,368,368,30.3
er_n24_p0.5_s2,er,24,140,0.5,2,random,bk_basic_bit,1,85,0.00034733302891254425,0.0003457090351730585,0.00035920809023082256,5,595,,,,6.0
er_n24_p0.5_s2,er,24,140,0.5,2,random,bk_pivot_bit,1,85,0.00022970791906118393,0.00022775004617869854,0.0002358339261263609,5,252,,,,5.9
er_n24_p0.5_s2,er,24,140,0.5,2,random,bk_tomita_bit,1,85,0.00026416685432195663,0.00026333308778703213,0.00027020787820219994,5,186,,,,6.8
er_n24_p0.7_s2,er,24,195,0.7,2,random,bk_basic,0,43,0.0001249578781425953,0.00011787493713200092,0.00016633281484246254,5,171,83,0,0,24.7
er_n24_p0.7_s2,er,24,195,0.7,2,random,bk_pivot,0,43,0.00010016607120633125,9.641610085964203e-05,0.00011512497439980507,5,108,21,183,0,24.6
